Date	DJIA	Time
5/13/96	5582.60	96
5/14/96	5624.71	97
5/15/96	5625.44	98
5/16/96	5635.05	99
5/17/96	5687.50	100
5/20/96	5748.82	101
5/21/96	5736.26	102
5/22/96	5778.00	103
5/23/96	5762.12	104
5/24/96	5762.86	105
5/27/96	5762.86	106
5/28/96	5709.67	107
5/29/96	5673.83	108
5/30/96	5693.41	109
5/31/96	5643.18	110
6/3/96	5624.71	111
6/4/96	5665.71	112
6/5/96	5697.48	113
6/6/96	5667.19	114
6/7/96	5697.11	115
6/10/96	5687.87	116
6/11/96	5668.66	117
6/12/96	5668.29	118
6/13/96	5657.95	119
6/14/96	5649.45	120
6/17/96	5652.78	121
6/18/96	5628.03	122
6/19/96	5648.35	123
6/20/96	5659.43	124
6/21/96	5705.23	125
6/24/96	5717.79	126
6/25/96	5719.27	127
6/26/96	5682.70	128
6/27/96	5677.53	129
6/28/96	5654.63	130
7/1/96	5729.98	131
7/2/96	5720.38	132
7/3/96	5703.02	133
7/4/96	5703.02	134
7/5/96	5588.14	135
7/8/96	5550.83	136
7/9/96	5581.86	137
7/10/96	5603.65	138
7/11/96	5520.50	139
7/12/96	5510.56	140
7/15/96	5349.51	141
7/16/96	5358.76	142
7/17/96	5376.88	143
7/18/96	5464.18	144
7/19/96	5426.82	145
7/22/96	5390.94	146
7/23/96	5346.55	147
7/24/96	5354.69	148
7/25/96	5422.01	149
7/26/96	5473.06	150
7/29/96	5434.59	151
7/30/96	5481.93	152
7/31/96	5528.91	153
8/1/96	5594.75	154
8/2/96	5679.83	155
8/5/96	5674.28	156
8/6/96	5696.11	157
8/7/96	5718.67	158
8/8/96	5713.49	159
8/9/96	5681.31	160
8/12/96	5704.98	161
8/13/96	5647.28	162
8/14/96	5666.88	163
8/15/96	5665.78	164
8/16/96	5689.45	165
8/19/96	5699.44	166
8/20/96	5721.26	167
8/21/96	5689.82	168
8/22/96	5733.47	169
8/23/96	5722.74	170
8/26/96	5693.89	171
8/27/96	5711.27	172
8/28/96	5712.38	173
8/29/96	5647.65	174
8/30/96	5616.21	175
9/2/96	5616.21	176
9/3/96	5648.39	177
9/4/96	5656.90	178
9/5/96	5606.96	179
9/6/96	5659.86	180
9/9/96	5733.84	181
9/10/96	5727.18	182
9/11/96	5754.92	183
9/12/96	5771.94	184
9/13/96	5838.52	185
9/16/96	5889.20	186
9/17/96	5888.83	187
9/18/96	5877.36	188
9/19/96	5867.74	189
9/20/96	5888.46	190
9/23/96	5894.74	191
9/24/96	5874.03	192
9/25/96	5877.36	193
9/26/96	5868.85	194
9/27/96	5872.92	195
9/30/96	5882.17	196
10/1/96	5904.90	197
10/2/96	5933.97	198
10/3/96	5932.85	199
10/4/96	5992.86	200
10/7/96	5979.81	201
10/8/96	5966.77	202
10/9/96	5930.62	203
10/10/96	5921.67	204
10/11/96	5969.38	205
10/14/96	6010.00	206
10/15/96	6004.78	207
10/16/96	6020.81	208
10/17/96	6059.20	209
10/18/96	6094.23	210
10/21/96	6090.87	211
10/22/96	6061.80	212
10/23/96	6036.46	213
10/24/96	5992.48	214
10/25/96	6007.02	215
10/28/96	5972.73	216
10/29/96	6007.02	217
10/30/96	5993.23	218
10/31/96	6029.38	219
11/1/96	6021.93	220
11/4/96	6041.68	221
11/5/96	6081.18	222
11/6/96	6177.71	223
11/7/96	6206.04	224
11/8/96	6219.82	225
11/11/96	6255.60	226
11/12/96	6266.04	227
11/13/96	6274.24	228
11/14/96	6313.00	229
11/15/96	6348.03	230
11/18/96	6346.91	231
11/19/96	6397.60	232
11/20/96	6430.02	233
11/21/96	6418.47	234
11/22/96	6471.76	235
11/25/96	6547.79	236
11/26/96	6528.41	237
11/27/96	6499.34	238
11/28/96	6499.34	239
11/29/96	6521.70	240
12/2/96	6521.70	241
12/3/96	6442.69	242
12/4/96	6422.94	243
12/5/96	6437.10	244
12/6/96	6381.94	245
12/9/96	6463.94	246
12/10/96	6473.25	247
12/11/96	6402.52	248
12/12/96	6303.71	249
12/13/96	6304.87	250
12/16/96	6268.35	251
12/17/96	6308.33	252
12/18/96	6346.77	253
12/19/96	6473.64	254
12/20/96	6484.40	255
12/23/96	6489.02	256
12/24/96	6522.85	257
12/25/96	6522.85	258
12/26/96	6546.68	259
12/27/96	6560.91	260
12/30/96	6549.37	261
12/31/96	6448.27	262
